Review,Clean_Review,Topic
"every information was very valuable, thanks",every information valuable thanks,0
"I've learned a lot, but I still have to search more. Search Engine helps me a lot too not just main cousera. Coursera helps me a lot. I will move on for the next course and see you there.",ive learned lot still search search engine help lot main cousera coursera help lot move next course see,0
Very informative in the break down in all the individual pieces of the network information given.,informative break individual piece network information given,1
"Very clear concise explanation of the basics, but useful for more advanced learner as a review.",clear concise explanation basic useful advanced learner review,4
The course was very very helpful I’ve learned many things and techniques that i ignored. ,course helpful ive learned many thing technique ignored,0
Its a very good course for Python Beginers,good course python beginers,4
"Great introductory course to Machine
Learning. I recommend it to be
attended by all kind of professionals, regardless of
their position or role in the organization and regardless of
their educational backgorund.   ",great introductory course machinelearning recommend beattended kind professional regardless oftheir position role organization regardless oftheir educational backgorund,2
It was a great experience while learning,great experience learning,4
"This was my first class since college (almost 20 years ago), and I truly enjoyed it.  It was very easy to follow, and found it very useful.  ",first class since college almost year ago truly enjoyed easy follow found useful,0
"I enjoyed this class. I am very happy because of this. I learnt something new, a have learnt python programming language. Thank you.",enjoyed class happy learnt something new learnt python programming language thank,0
"just brilliant, i am a mechanical engineer and the way this course was introduced to me till i wrote and successfully wrote my first program, it was just a great learning experience.hope to meet you soon sir. ",brilliant mechanical engineer way course introduced till wrote successfully wrote first program great learning experiencehope meet soon sir,0
a good course for introduction. Too simple and too little exercise.,good course introduction simple little exercise,4
I am planning to take a live PFA class here in the Philippines and this online course helped a lot in providing a bird’s eye view of what to expect. Highly recommended. ,planning take live pfa class philippine online course helped lot providing bird eye view expect highly recommended,0
"It was a good course and the teaching was well done, but I thought it could have been more challenging to increase the learning.",good course teaching well done thought could challenging increase learning,4
not just helloWorld but What a wonderful world!Strongly recommend for anybody who wants to learn computer and programming.Just beyond my explanation~!,helloworld wonderful worldstrongly recommend anybody want learn computer programmingjust beyond explanation,4
"Basic course for everyone to start gaining some confidence in Ai, to achieve more in future.",basic course everyone start gaining confidence ai achieve future,2
"I learned many concepts more consistently. I want to work in the financial market and I know that I need to have the best knowledge possible, and as deep as I can to have a strong base. ",learned many concept consistently want work financial market know need best knowledge possible deep strong base,2
A good start for beginner's in python coding. Dr.Charles has explained each and every session of the course very well which made us understand easily.,good start beginner python coding drcharles explained every session course well made u understand easily,4
it was osum classes,osum class,4
"The perfect course for beginners.If you, like me, have been over thinking about giving programming a try for a few years now and been too afraid, this is the course for you.From any reason that you might be interested in programming, or from any previous knowledge or experience prof. Charles Severance is a marvelous teacher! I felt as he really understood where am I coming from as a non-technical student that never touched a piece of code before. And that shouldn't be forgotten! The course progress is nice and in a good paste (some might say even too slow) giving you the time to deal with this new world as it's not letting you feel that you are too slow to learn. I know that I acquired the most basic understanding of Python. Which was exactly what I wanted! With that knowledge, I believe I have the infrastructure to keep learning independently or at list was encouraged to deal with my fears. Now, I feel much more confident and sure I will continue to learn. Thank you so much!",perfect course beginnersif like thinking giving programming try year afraid course youfrom reason might interested programming previous knowledge experience prof charles severance marvelous teacher felt really understood coming nontechnical student never touched piece code shouldnt forgotten course progress nice good paste might say even slow giving time deal new world letting feel slow learn know acquired basic understanding python exactly wanted knowledge believe infrastructure keep learning independently list encouraged deal fear feel much confident sure continue learn thank much,0
"Best Foundation to Deep Learning ever! You'll be amazed by your transition through the four weeks. Andrew Ng has got this knack of breaking down huge concepts and feeding them in, when you're unsuspecting! Special Mention - Heroes section: Pursue with your intuition even when nobody else believes in it!",best foundation deep learning ever youll amazed transition four week andrew ng got knack breaking huge concept feeding youre unsuspecting special mention hero section pursue intuition even nobody else belief,2
"I loved it. Thank you, professor Bloom! I would highly recommend this course to someone who wishes to have a brief overview of various fields and concepts of psychology. I must affirm the importance of the reading material provided along. ",loved thank professor bloom would highly recommend course someone wish brief overview various field concept psychology must affirm importance reading material provided along,4
"Thorough mathematical explanation of neural networks, especially a nice follow-up of the Matlab/Octave based Machine Learning course (2011) of Andrew Ng.The Python based implementation is a well guided exercise, and calculus self-reproduce-ability is not required. Therefore this course will enlighten you into the maths and a do-it-yourself implemenation in Python.",thorough mathematical explanation neural network especially nice followup matlaboctave based machine learning course andrew ngthe python based implementation well guided exercise calculus selfreproduceability required therefore course enlighten math doityourself implemenation python,2
"Well. what to say about Dr. chuck.!!!We need more online and especially offline instructors like you. I was wondering whether being a Mechanical student, working out on computer languages wouldn't be my cup of tea. well guess what you made me change my mind.Thank you sir :)",well say dr chuckwe need online especially offline instructor like wondering whether mechanical student working computer language wouldnt cup tea well guess made change mindthank sir,0
"Lovely Course ...A beautiful insight into the world of AI, everyone out there must take this mini-course just 6 hrs long course of good information.",lovely course beautiful insight world ai everyone must take minicourse hr long course good information,2
"I really like it, but a bit complicated sometimes.",really like bit complicated sometimes,1
The course gives an overview of python programming for beginners. However I would recommend students to also refer some textbook ,course give overview python programming beginner however would recommend student also refer textbook,4
knowlegable ,knowlegable,0
"over all course is good .But, in some programs ""lists"" has used without discussing it before .",course good program list used without discussing,1
"Literally, the best course you could have on Python especially who had never typed a single code ever in his/her life.",literally best course could python especially never typed single code ever hisher life,2
"Very interesting Course. Thank you very much Prof. George.
By the way, ""PFA"" was the main topic for the celebration of the ""World Mental Health Day 2016"" led by WHO and WFMH. Refering to the official document from WFMH, PFA is also presented as part of the dignity of mentally ill.Bravo again.Achour",interesting course thank much prof georgeby way pfa main topic celebration world mental health day led wfmh refering official document wfmh pfa also presented part dignity mentally illbravo againachour,0
must do it,must,0
is really great course even I'm the beginner I still can learn so much thing,really great course even im beginner still learn much thing,0
I thought he should be taught some more deep about python  in this course like try and except is not more clear I am facing problem while doing last assignment by using try and expect concept but the overall course was good,thought taught deep python course like try except clear facing problem last assignment using try expect concept overall course good,1
A very good course introductory course to finance. I have managed to follow the lessons very well even without any formal background in economics. Prof. Shiller is engaging and manages to explain some of the most alien concepts in finance with clarity and brilliance.,good course introductory course finance managed follow lesson well even without formal background economics prof shiller engaging manages explain alien concept finance clarity brilliance,4
"I came across this course post lockdown in my country due to coronavirus. It seemed worth it for me to take this, not only to personally learn how to deal with the mental aspects of post disaster aid but also to help those around me to the best of my ability. I may not be a trained individual yet to deploy any psychological advice but this course has made a little more confident in my ability to at least listen and provide some support to my friends and the people around me in these trying times. The course is informative, insightful and well engaging for the amount of time that it was for. Thank you, Dr. George Everly, for being an amazing instructor! :)",came across course post lockdown country due coronavirus seemed worth take personally learn deal mental aspect post disaster aid also help around best ability may trained individual yet deploy psychological advice course made little confident ability least listen provide support friend people around trying time course informative insightful well engaging amount time thank dr george everly amazing instructor,0
"Excellent course, presented to maintain interest.",excellent course presented maintain interest,4
very nice course in this platform.I thank my institution and Coursera for this brief course.I feel I learn something new.,nice course platformi thank institution coursera brief coursei feel learn something new,0
prof. Charles breaks down everything to the simplest level while explaining concepts. I cant really say much from a complete beginners perspective as I am a little experienced in coding. looking forward to the next course from the 5 course python specialisation,prof charles break everything simplest level explaining concept cant really say much complete beginner perspective little experienced coding looking forward next course course python specialisation,0
Teaching is Exceptionally well and very informative for the new learners,teaching exceptionally well informative new learner,4
so many thanks! i really happy to take that course!,many thanks really happy take course,0
"Concepts have been cleared , when to use what has been perfectly explained by our very dynamic host Andrew NG",concept cleared use perfectly explained dynamic host andrew ng,4
This course is for those who have zero knowledge in programmkng,course zero knowledge programmkng,2
The course has helped me to apply the relevant framework to my work.,course helped apply relevant framework work,2
"Overall good course. Only thing was that there were a few of the things that we learned that I didn't feel were included in assignments, so didn't get as much practice as I would of liked trying the programming language. But would still highly recommended and very excited for the next course!",overall good course thing thing learned didnt feel included assignment didnt get much practice would liked trying programming language would still highly recommended excited next course,1
very informative learnt lot python coding ready to move to the next level ,informative learnt lot python coding ready move next level,0
This course is a very good conceptual and practical overview of AI. Surely not enough to be really educated in this area (I don´t think you can get that anyway in one course) but it certainly opens the possibilities and makes AI a less scary topic to start learning about.,course good conceptual practical overview ai surely enough really educated area dont think get anyway one course certainly open possibility make ai less scary topic start learning,2
It was a wonderful course and I learned a lot of networking concepts in detail.,wonderful course learned lot networking concept detail,0
This was really an engaging and interesting course! Professor Bloom is a really cool person and I hope to take more of his courses in the future. ,really engaging interesting course professor bloom really cool person hope take course future,0
This course really helped me in understanding about Artificial Intelligence.,course really helped understanding artificial intelligence,2
Very interresting course. ,interresting course,4
Great course for beginners....and got very clear explanations on the topics by the instructor..had a great experience.... thankyou.,great course beginnersand got clear explanation topic instructorhad great experience thankyou,4
"It is a great course, everyone can benefit from it",great course everyone benefit,2
thanks to coursera to provide such a platform whera we can interact to other student and also learn good skill.,thanks coursera provide platform whera interact student also learn good skill,0
"Excellent course: well-organized and presented content, engaging instruction, challenging assignments.",excellent course wellorganized presented content engaging instruction challenging assignment,4
nice platform,nice platform,4
I absolutely loved this course. I think I learned more in this course than I did in my three years of college. Looking forward to more courses!,absolutely loved course think learned course three year college looking forward course,0
Very interesting course that made me reflect on the applicability of AI in my job environment. Thank you very much for sharing your expertise.One small improvement would be to re-run the speech recognition system on the video as many words in the written version of the course are incorrectly spelled. Other than that thumbs up!,interesting course made reflect applicability ai job environment thank much sharing expertiseone small improvement would rerun speech recognition system video many word written version course incorrectly spelled thumb,1
This was a good experience for me to learn the AI for everything .Thanks for the opportunity for joining courses.,good experience learn ai everything thanks opportunity joining course,0
"i had  always a fear to learn any language. The way of teaching is too good. I have got rid of that fear. Very excited yo learn more and more in order to groom my skills as well as advance my carrier. Thanks Coursera  and also the Professor Charles Severance, you are amazing!!",always fear learn language way teaching good got rid fear excited yo learn order groom skill well advance carrier thanks coursera also professor charles severance amazing,0
It's an excellent course/specialization for a programming starter form Dr. Chuck.Really thx.,excellent coursespecialization programming starter form dr chuckreally thx,4
The videos were very slow and many contained useless information.,video slow many contained useless information,1
"Good course, except some videos about speaker´s personal experiences and some other IT gossip. We just wanted to learn Python.",good course except video speaker personal experience gossip wanted learn python,4
The professor Dr Chuck explanation is  too good and the person who don't even know the basic programming can also learn the program very easily.,professor dr chuck explanation good person dont even know basic programming also learn program easily,4
"Course teaches bad programming practices, such as naming variables dZ and b. Also it is little outdated - neural networks are not written in numpy anymore.",course teach bad programming practice naming variable dz b also little outdated neural network written numpy anymore,1
"



I singed up for this suppossed free course and now I got charged 44 euros. I do not want this and I deamand a refund. I'had already cancell all my subscriptions.",singed suppossed free course got charged euro want deamand refund ihad already cancell subscription,0
Really its very helpful course dig in the basics and important points in Python world. Thank you at all Googlers ,really helpful course dig basic important point python world thank googlers,0
Material was very informative and very helpful in allowing me to apply some of the information I learned to everyday problems that could arise at work or anywhere you might be connected to a network at.,material informative helpful allowing apply information learned everyday problem could arise work anywhere might connected network,0
"One of the best online courses I've participated in. Dr. Bloom was very clear, pedagogical,  and engaging.  The covered topics were also interesting and informative. I liked the use of animations in the course. The material introduced were interesting and I learned a lot. I do hope I get more courses which Dr. Bloom teaches. ",one best online course ive participated dr bloom clear pedagogical engaging covered topic also interesting informative liked use animation course material introduced interesting learned lot hope get course dr bloom teach,0
"This course lays out how to build a deep neural network from scratch, slowly and systematically. Its a pleasure to learn this way - step by step with interesting lectures, quizes and assignments.  Andrew is such a gentle and empathetic teacher. He know what will be difficult and walks you through it with the patience of a saint! I feel all set to now take on the next course in this series. ",course lay build deep neural network scratch slowly systematically pleasure learn way step step interesting lecture quiz assignment andrew gentle empathetic teacher know difficult walk patience saint feel set take next course series,2
i enjoyed and learned all the things very precisely and easily ... and have a good experience with you,enjoyed learned thing precisely easily good experience,0
Very nice course 😊The learning materials are complete and easy to understand. The instructor is clear and precise. I commend this course for having a simulation so we can really see the actual scenarios when performing PFA.,nice course learning material complete easy understand instructor clear precise commend course simulation really see actual scenario performing pfa,4
"Great class, accessible to anyone and with additional very interesting interviews ( notably of Guido van Rossum, Massimo Banzi and others).",great class accessible anyone additional interesting interview notably guido van rossum massimo banzi others,1
This course was a kickstart to my learning of python. It gives me a clear idea of python and arouse an interest to learn it to the depth!Thank you for designing such a beautiful course.,course kickstart learning python give clear idea python arouse interest learn depththank designing beautiful course,2
"I learned a lot in this course, it is amazing.  The important thing in this course is its simplicity.",learned lot course amazing important thing course simplicity,0
"I definitely feel like I've learned the material, but it many ways it feels in spite of the course and not because of it. The rest of this certification program felt so natural and well structured, but this one felt like having someone read a textbook off a teleprompter. Understanding how any of it goes together was something I pretty much had to accomplish myself by finding better sources and explanations elsewhere. And the biggest strength of the course before it--the use of virtual desktops and cloud technology to actually practice interacting with the material--was nowhere to be seen here. So... I need to remotely connect to a WIndows 10 VM to learn how to make a folder, but don't need any practice doing ANYTHING network related aside from rewatching the videos...? Just strange decisions all the way around. I hope they consider restructuring and expanding this course. It's a relief to be through it, and I usually don't feel that way, even with highly technical material.",definitely feel like ive learned material many way feel spite course rest certification program felt natural well structured one felt like someone read textbook teleprompter understanding go together something pretty much accomplish finding better source explanation elsewhere biggest strength course itthe use virtual desktop cloud technology actually practice interacting materialwas nowhere seen need remotely connect window vm learn make folder dont need practice anything network related aside rewatching video strange decision way around hope consider restructuring expanding course relief usually dont feel way even highly technical material,1
very good beginner course.,good beginner course,4
This course is really very good starts from the basics and covers most of basic python language. The way it is presented is also good  ,course really good start basic cover basic python language way presented also good,4
I surely got a more profound knowledge about financial markets than what I had weeks ago!,surely got profound knowledge financial market week ago,0
"Pretty basics of python, good for beginners.  Even though beginners will face some trouble if they have no programming experience.",pretty basic python good beginner even though beginner face trouble programming experience,4
This is a great introductory course on AI. The material is presented in a way that it is accessible to anyone. Andrew does a superb job of explaining AI concepts and the current applications for business.,great introductory course ai material presented way accessible anyone andrew superb job explaining ai concept current application business,2
It was really helpful for beginners,really helpful beginner,4
"a pesar que ya se sobre esto (algo avanzado) siempre se verán temas que uno no había visto, cosas mínimas puede ser. Este es un gran curso aunque hubiese preferido que fuese mas especifico en el área de redes y conectividad.",pesar que ya se sobre esto algo avanzado siempre se vern temas que uno haba visto cosas mnimas puede ser este e un gran curso aunque hubiese preferido que fuese ma especifico en el rea de redes conectividad,3
"Always leave room for improvement, hence 4 stars... but I really should not know what to improve ;-) Total fan of Dr. Chuck!!",always leave room improvement hence star really know improve total fan dr chuck,0
This did not seem like a full course. It is a good introduction to the depths of neural networks but the whole specialization is really needed to actually put something on a resume.,seem like full course good introduction depth neural network whole specialization really needed actually put something resume,1
THE INSTRUCTOR IS SUPER COOL ,instructor super cool,4
I chose this course because I wanted to be taught by Andrew Ng. He was a relaxing and thought-provoking  lecturing style. I couldn't wait to get home  every day to study a new video. ,chose course wanted taught andrew ng relaxing thoughtprovoking lecturing style couldnt wait get home every day study new video,0
"An absolutely awesome course to get your interest into python lit! The lecture is just too good, its way easier to understand the fundamentals. This course is gonna help a lot in getting a proper understanding of the what basics of python that's required. Overall a very good course if you're a beginner :>",absolutely awesome course get interest python lit lecture good way easier understand fundamental course gonna help lot getting proper understanding basic python thats required overall good course youre beginner,1
"To a novice programmer, like me, python is the best programming language and this course is perfectly relevant.",novice programmer like python best programming language course perfectly relevant,4
Very interesting courses and I think learning from the lecture is faster than reading the book.,interesting course think learning lecture faster reading book,1
The very first thing that i must say is that the professor Charles is exceptionally well..i could not understand the programming concepts with so much ease before this..the teaching style is great and the slides give every key information about what is being taught so you can capture screenshots and make notes with help of it..and the assignments help you to practice what you've learned...so overall a great course!Thank you Coursera.Thanku Professor Charles.,first thing must say professor charles exceptionally welli could understand programming concept much ease thisthe teaching style great slide give every key information taught capture screenshots make note help itand assignment help practice youve learnedso overall great coursethank courserathanku professor charles,0
Got to learn a great deal! ,got learn great deal,0
very nice coursera.,nice coursera,4
Clear and easy to understand materials. Helpful clips of correct and incorrect intervention. ,clear easy understand material helpful clip correct incorrect intervention,4
Great Work!!!,great work,1
very good course. instructor teaching method is outstanding. class is not boring and concept easily understandable.,good course instructor teaching method outstanding class boring concept easily understandable,4
excellent course and instructor...,excellent course instructor,4
"Had an excellent time taking this course and learned lots about the world of networking that I had never encountered before. At first I was apprehensive about taking this course, I believed that networking was too complicated and I wouldn't enjoy it but now I am actually considering studying networking further because I found it so interesting.",excellent time taking course learned lot world networking never encountered first apprehensive taking course believed networking complicated wouldnt enjoy actually considering studying networking found interesting,0
its very nice course and teaches everything soo well ,nice course teach everything soo well,4
amazing if it could available in hindi,amazing could available hindi,4
"O curso, além de muito bonito, várias vezes me deixou de boca aberta e sem palavras sobre as diversas situações apresentadas. Não queria acabar o curso pelo simples fato de que o amei demais, e não queria que fosse tão pouco. Recomendo muito, o que aprendi aqui já consigo aplicar no dia a dia, não sendo necessariamente uma adversidade.",curso alm de muito bonito vrias vezes deixou de boca aberta e sem palavras sobre diversas situaes apresentadas queria acabar curso pelo simple fato de que amei demais e queria que fosse pouco recomendo muito que aprendi aqui j consigo aplicar dia dia sendo necessariamente uma adversidade,3
"Very interesting and complete course, perfect for beginn",interesting complete course perfect beginn,4
It  was a lovely experience. Great content  and way of teaching ,lovely experience great content way teaching,4
  Very good platform form study online.The way of teaching of Dr. Chuke is really awesome .My basic knowledge of python increases.  ,good platform form study onlinethe way teaching dr chuke really awesome basic knowledge python increase,4
"If you are an absolute beginner this is a nice course, the instructor is a really good teacher and the guide book is simple to understand.",absolute beginner nice course instructor really good teacher guide book simple understand,4
Enjoyed...,enjoyed,0
It was an honour to learn so much from Professor Shiller and Yale,honour learn much professor shiller yale,0
Its wonder full course,wonder full course,1
"This is really the core of the computing communications,well organized and explained by the Instructor",really core computing communicationswell organized explained instructor,4
i like this course and this taught me very interesting things,like course taught interesting thing,0
Just awesome! Recommended this course to several people who want to learn Python.,awesome recommended course several people want learn python,4
¡me gusto mucho!,gusto mucho,3
There is nothing better than being taught by passionate people. Charles Severance is one of those rare gems of education. Online learning was also new to me and definitely something very I wish I had been able to do when I was studying 20 years ago.The bonus videos were very interesting and this is something that adds a lot of value to the course.I have done the first course only (in 3 days) and will try to wrap the specialization soon.,nothing better taught passionate people charles severance one rare gem education online learning also new definitely something wish able studying year agothe bonus video interesting something add lot value coursei done first course day try wrap specialization soon,0
This course is packed in such a way that it helps even a novice reader on AI is able to understand the terminologies and gain basic understanding in this area. Great one and highly recommendable for everyone at various levels in an organization.,course packed way help even novice reader ai able understand terminology gain basic understanding area great one highly recommendable everyone various level organization,2
"Very easy to understand, professor is excellent at explaining concepts in plain language. A very good introductory course and keep me motivated to continue learning. ",easy understand professor excellent explaining concept plain language good introductory course keep motivated continue learning,4
Course was all right. I would appreciate more in-depth explanation of the derivation of some of the formulas provided. ,course right would appreciate indepth explanation derivation formula provided,1
"The course was a good overview of NN and deep learning.  Possible improvements: 1)  The structure of the notes/pdfs/ppt is a little non-intuitive.  The only way to access them is by scrolling down from the videos.  I liked the Machine Learning course format better, where the notes were all neatly arranged under the Resources.2) I didn't get any responses to questions on the discussion forum.  Again in the machine learning course the Mentor's responded very quickly.  But, in this course, the questions went unanswered.",course good overview nn deep learning possible improvement structure notespdfsppt little nonintuitive way access scrolling video liked machine learning course format better note neatly arranged resource didnt get response question discussion forum machine learning course mentor responded quickly course question went unanswered,1
"Really enjoyed doing this course. Instructor taught each session clearly , which encourages to continue learning. ",really enjoyed course instructor taught session clearly encourages continue learning,0
great course i have learned alot. and the host was great at keeping the material super interesting. i even enjoyed the little jokes he threw out there. ,great course learned alot host great keeping material super interesting even enjoyed little joke threw,1
"Great overview of AI, from what it can currently do, to how it does what it does, how to ""train"" AI, how to consider using it in you work and the societal and employment implications of AI. One of the major reasons I took this course was because it was presented by Andrew Ng, a foremost expert in AI technology.  The course was broken down well into ""bite-size"" chunks and ""easy to digest."" I would recommend it to anyone who wants to better understand this technology.",great overview ai currently train ai consider using work societal employment implication ai one major reason took course presented andrew ng foremost expert ai technology course broken well bitesize chunk easy digest would recommend anyone want better understand technology,2
its brief and clear,brief clear,4
The instructor ma'am was so good teacher. Thanks a lot ,instructor maam good teacher thanks lot,4
It was a very interesting course. Exciting and productive one. Thank you Dr. Chuck. Cheers for Coursera. Thank you:) ,interesting course exciting productive one thank dr chuck cheer coursera thank,4
I really liked the course. Its a good course to learn the basics of programming through Python. The thing I liked the most was the flow charts of each program that helped me to understand the concepts easily.Thanks Dr. Chuck. I would like to visit you if I get a chance.,really liked course good course learn basic programming python thing liked flow chart program helped understand concept easilythanks dr chuck would like visit get chance,0
Incredibly relevant to our world right now.,incredibly relevant world right,2
"It was an amazing experience learning from Dr Chuck. I will surely take more courses from the University of Michigan. Beginners for python, you people need to start with this course.",amazing experience learning dr chuck surely take course university michigan beginner python people need start course,4
a very useful for learning python .very easily explained every topic.,useful learning python easily explained every topic,4
very helpful in tackling the emotional setbacks and traumas and helping others in doing so.,helpful tackling emotional setback trauma helping others,0
Excellent course for a beginner like me. I will definitely revise this course afterwards since I don't want to forget the content in this course. The course is very valuable. Thank you for such a beautiful course. ,excellent course beginner like definitely revise course afterwards since dont want forget content course course valuable thank beautiful course,4
"The course is excellent of no matter your technical background is. The things are explained slowly and with a very comprehensive details of the codes in the course. This course will certainly help a lot of candidates to start their coding for the first time without common fears associated to coding classes.
A perfect course for first time coders and a perfect language to learn. Loved the classes, loved the pace of the class.",course excellent matter technical background thing explained slowly comprehensive detail code course course certainly help lot candidate start coding first time without common fear associated coding classesa perfect course first time coder perfect language learn loved class loved pace class,1
nice explanation and real life examples,nice explanation real life example,4
"The first course was lights on.  This course was Dig Deep.  My head actually filled up with knowledge physically.  It was amazing.  My thought processes are on a totally different level now technically.  The instructors, videos, and interactive quizzes are spot on and not easy at all.",first course light course dig deep head actually filled knowledge physically amazing thought process totally different level technically instructor video interactive quiz spot easy,1
"Good material! Requires knowledge of machine learning beforehand to be a bit more understandable but if you already had an introduction to machine learning I think you are good to go. There was problem sometimes with the notebooks crashing which resulted to some frustration but other than that, it was a really solid course",good material requires knowledge machine learning beforehand bit understandable already introduction machine learning think good go problem sometimes notebook crashing resulted frustration really solid course,2
such a good course for knowing the importance of AI in today's world and why we should adopt it in different platforms. Recommended to those who know nothing about AI,good course knowing importance ai today world adopt different platform recommended know nothing ai,2
Excellent course.  It included some challenging and complicated IT concepts that were covered in a clear and comprehensive way.  Thank you!,excellent course included challenging complicated concept covered clear comprehensive way thank,4
The right course to start your Journey into AI for non technical people & product managers,right course start journey ai non technical people product manager,2
It is a very good start for beginners who don't know anything about Python and after completing this course I will definitely guarantee that he/she will be so amazed.   ,good start beginner dont know anything python completing course definitely guarantee heshe amazed,2
"As a beginner, this course is great to understand and get an in-depth overview into the AI world",beginner course great understand get indepth overview ai world,2
"Gives you very strong base in financial markets, but my biggest takeaway was the importance of behavioral finance.",give strong base financial market biggest takeaway importance behavioral finance,3
"Awesome course , awesome tutors and awesome course materials",awesome course awesome tutor awesome course material,4
The whole experience was sooooo amazing..,whole experience sooooo amazing,4
Its a very nice course for people that is interesting in the financial world,nice course people interesting financial world,4
"The course actually does what its title promises: Introduces everyone to AI. Well designed, with helpful examples, this course is the best boost for a beginner entering the world of AI. The best part was- ""My favorite joke is why are there so many shocking results
in AI, because AI is the new electricity. Shocking electricity, get it?""",course actually title promise introduces everyone ai well designed helpful example course best boost beginner entering world ai best part favorite joke many shocking resultsin ai ai new electricity shocking electricity get,2
"Great explanation, very comprehensive and understandable",great explanation comprehensive understandable,4
One of the best courses to start learning to program. I have tried many times to learn to program but the material or teaching method didn't allow me to complete. But this course was complete in all regards and also it keeps one's interest in programming languages intact.,one best course start learning program tried many time learn program material teaching method didnt allow complete course complete regard also keep one interest programming language intact,0
"Good insight about AI, and how project can be done.  Liked the AI and society part.",good insight ai project done liked ai society part,2
"This is a perfect course to begin one's journey into the world of programming, into the world of python.",perfect course begin one journey world programming world python,4
"  It’s a good online course in Finance that I have never learned before. I have gained the basic knowledge of financial markets and their applications in reality. Absolutely right, finance is not just about making money that I thought before joining in this course, and as a popular opinion as well, it is more than that, it has much more meaningful. This course has brought to me the necessary skills to make more rational decisions in my life, in my future career, I think. It’s also helped me to realize how I should work in this sector to serve the right purposes, to make the people living around me to be better. And it’s true that educational finance is very important to everyone. Professor Robert Shiller is an amazing teacher, many thanks to Professor Robert Shiller and Yale’s Financial Markets Course team. I highly recommend taking this course.  ",good online course finance never learned gained basic knowledge financial market application reality absolutely right finance making money thought joining course popular opinion well much meaningful course brought necessary skill make rational decision life future career think also helped realize work sector serve right purpose make people living around better true educational finance important everyone professor robert shiller amazing teacher many thanks professor robert shiller yale financial market course team highly recommend taking course,0
very informative course ,informative course,4
Greta Course for beginners ,greta course beginner,4
Exceptional course for beginners and important to go through the follow up courses to have completion of ideas in basic python programming. Highly recommended.,exceptional course beginner important go follow course completion idea basic python programming highly recommended,4
"Takes it slow, but really helps you understand and grasp what you are actually doing. First experience with any computer programming and eager to learn more. Definitely recommend.",take slow really help understand grasp actually first experience computer programming eager learn definitely recommend,1
easy & good for beginner,easy good beginner,4
"In this course, for some people might seems simple. but this course give us a entire view of Python",course people might seems simple course give u entire view python,4
It is really helpful to us..major content were covered during this course.Thank you so much to dr.chuk,really helpful usmajor content covered coursethank much drchuk,4
Fantastic course for beginners ,fantastic course beginner,4
a little vague on some aspects,little vague aspect,1
"could have more content, felt like weeks 1-4 should have been 1 week.",could content felt like week week,1
It's really good for understanding background of programing  also computer archi.Good way to start learning python with kind explanation.,really good understanding background programing also computer archigood way start learning python kind explanation,4
great learning experience!,great learning experience,4
Very easy course,easy course,4
"This is a good, elementary course to gain an overview of AI related topics. Very easy to follow and minimally technical.",good elementary course gain overview ai related topic easy follow minimally technical,2
 A perfect beginner-level course for AI. Enjoyed it.,perfect beginnerlevel course ai enjoyed,1
Well built and informative.,well built informative,1
Awesome instructor. Great content and lots of helping references and motivation. Very happy with the course.,awesome instructor great content lot helping reference motivation happy course,0
"I am completely satisfied with the course. I think that I have built a strong foundation for Python Programming. I fully enjoyed every single bit of the lectures by Dr. Chuck, quiz and assignments at the end of chapters. Auto-grading system is yet another big advantage.Thank you Dr. Chuk, University of Michigan and Coursera!!!",completely satisfied course think built strong foundation python programming fully enjoyed every single bit lecture dr chuck quiz assignment end chapter autograding system yet another big advantagethank dr chuk university michigan coursera,0
"This course has helped me a lot to get into AI world, very directly. For sure It's such a great path to starting over AI world.",course helped lot get ai world directly sure great path starting ai world,2
The first course I completed .it's  little simple.,first course completed little simple,1
Wonderful explanation by Prof. Andrew. ,wonderful explanation prof andrew,4
The course was easy at first but later on it became competitive.The last final assessment was challenging.Anyway it was a great course and Thankyou .,course easy first later became competitivethe last final assessment challenginganyway great course thankyou,1
"Took the course as a beginner.Good structure, easy to understand, good mix of theory vs. practice.Strong recommend!",took course beginnergood structure easy understand good mix theory v practicestrong recommend,1
"Notebooks are always get an error, and to save it, you should start a new one and copy all your code you wrote after an error. Also, would be great to get some more intuition of why and how we getting good results from doing a bunch of ayers of linear operations + activations. I mean, some intuition, mabe from the different angles. The fact that ""first layer computes edges, second layer computes part of the face and so on"" is understandable, but too abstract and disconnected from the actual math. Other than that, thank you, Andrew and Coursera, that was great!",notebook always get error save start new one copy code wrote error also would great get intuition getting good result bunch ayers linear operation activation mean intuition mabe different angle fact first layer computes edge second layer computes part face understandable abstract disconnected actual math thank andrew coursera great,1
